,name,salary,position,birthday,shoot
1255,Clinton Smith,,Shooting Guard,1964-01-19,Right
1256,Dominic Pressley,,Point Guard,1964-05-30,Right
1257,Steffond Johnson,,Power Forward,1962-11-04,Right
1258,Pete Myers,75000.0,Shooting Guard,1963-09-15,Right
1259,Curtis Kitchen,,Power Forward,1964-01-30,Right
1260,Tim Kempton,125000.0,Power Forward,1964-01-25,Right
1261,Anthony Frederick,100000.0,Small Forward,1964-12-07,Right
1262,David Robinson,1046000.0,Center,1965-08-06,Left
1263,Armen Gilliam,700000.0,Power Forward and Small Forward,1964-05-28,Right
1264,Dennis Hopson,400850.0,Shooting Guard and Small Forward,1965-04-22,Right
1265,Reggie Williams,600000.0,Small Forward,1964-03-05,Right
1266,Scottie Pippen,725000.0,Small Forward,1965-09-25,Right
1267,Kenny Smith,600000.0,Point Guard,1965-03-08,Right
1268,Kevin Johnson,536100.0,Point Guard,1966-03-04,Right
1269,Olden Polynice,350000.0,Center,1964-11-21,Right
1270,Derrick McKey,355000.0,Small Forward,1966-10-10,Right
1271,Horace Grant,500000.0,Power Forward and Center,1965-07-04,Right
1272,Reggie Miller,254000.0,Shooting Guard,1965-08-24,Right
1273,Muggsy Bogues,250000.0,Point Guard,1965-01-09,Right
1274,Joe Wolf,283708.0,Center and Power Forward,1964-12-17,Right
1275,Tellis Frank,353000.0,Power Forward,1965-04-26,Right
1276,Jose Ortiz,275000.0,Power Forward,1963-10-25,Right
1277,Chris Welp,257500.0,Center,1964-01-02,Left
1278,Ronnie Murphy,191666.0,Small Forward,1964-07-29,Right
1279,Mark Jackson,115100.0,Point Guard,1965-04-01,Right
1280,Ken Norman,250000.0,Small Forward,1964-09-05,Right
1281,Jim Farmer,175000.0,Shooting Guard,1964-09-23,Right
1282,Dallas Comegys,115000.0,Power Forward,1964-08-17,Right
1283,Reggie Lewis,75000.0,Shooting Guard and Small Forward,1965-11-21,Right
1284,Greg Anderson,185000.0,Power Forward and Center,1964-06-22,Right
1285,Ron Moore,75000.0,Center,1962-01-16,Right
1286,Steve Alford,100000.0,Point Guard,1964-11-23,Right
1287,Nate Blackwell,,Point Guard,1965-02-15,Left
1288,Rickie Winslow,,Small Forward,1964-07-26,Right
1289,Nikita Wilson,,Small Forward,1964-02-25,Right
1290,Andre Moore,,Power Forward and Small Forward,1964-07-02,Right
1291,Bob McCann,130000.0,Small Forward and Power Forward,1964-04-22,Left
1292,Tony White,75000.0,Point Guard,1965-02-15,Right
1293,Brian Rowsom,100000.0,Power Forward,1965-10-23,Right
1294,Doug Lee,150000.0,Shooting Guard,1964-10-24,Right
1295,Duane Washington,75000.0,Shooting Guard,1964-08-31,Right
1296,Norris Coleman,,Small Forward,1961-09-27,Right
1297,Vincent Askew,135000.0,Shooting Guard,1966-02-28,Right
1298,Winston Garland,75000.0,Point Guard,1964-12-19,Right
1299,Kannard Johnson,,Small Forward,1965-06-24,Right
1300,Brad Lohaus,75000.0,Power Forward,1964-09-29,Left
1301,Jamie Waller,,Shooting Guard,1964-11-20,Right
1302,Phil Zevenbergen,,Center,1964-04-13,Right
1303,Donald Royal,130000.0,Small Forward,1966-05-22,Right
1304,Winston Crite,100000.0,Small Forward,1965-06-20,Right
1305,Darryl Johnson,,Point Guard,1965-10-26,Right
1306,Kevin Gamble,100000.0,Small Forward,1965-11-13,Right
1307,Eric White,75000.0,Small Forward,1965-12-30,Right
1308,Billy Donovan,,Point Guard,1965-05-30,Right
1309,Joe Arlauckas,,Small Forward,1965-07-20,Right
1310,Chris Dudley,75000.0,Center and Power Forward,1965-02-22,Right
1311,Jack Haley,150000.0,Power Forward and Center,1964-01-27,Right
1312,Dave Popson,80000.0,Power Forward,1964-05-17,Right
1313,Ron Grandison,100000.0,Power Forward,1964-07-09,Right
1314,Bart Kofoed,75000.0,Shooting Guard,1964-03-24,Right
1315,Martin Nessley,,Center,1965-02-16,Right
1316,Danny Manning,1650000.0,Power Forward,1966-05-17,Right
1317,Rik Smits,800000.0,Center,1966-08-23,Right
1318,Charles Smith,1000000.0,Small Forward and Power Forward,1965-07-16,Right
1319,Chris Morris,625000.0,Small Forward and Shooting Guard,1966-01-20,Right
1320,Mitch Richmond,700000.0,Shooting Guard,1965-06-30,Right
1321,Hersey Hawkins,650000.0,Shooting Guard,1966-09-29,Right
1322,Tim Perry,600000.0,Power Forward and Center,1965-06-04,Right
1323,Rex Chapman,675000.0,Shooting Guard and Point Guard,1967-10-05,Right
1324,Rony Seikaly,650000.0,Center,1965-05-10,Right
1325,Willie Anderson,500000.0,Shooting Guard and Small Forward,1967-01-08,Right
1326,Will Perdue,425000.0,Center,1965-08-29,Right
1327,Harvey Grant,425000.0,Power Forward and Small Forward,1965-07-04,Right
1328,Jeff Grayer,400000.0,Shooting Guard and Small Forward,1965-12-17,Right
1329,Dan Majerle,450000.0,Shooting Guard and Small Forward,1965-09-09,Right
1330,Gary Grant,250000.0,Point Guard,1965-04-21,Right
1331,Derrick Chievous,350000.0,Small Forward,1967-07-03,Right
1332,Eric Leckner,325000.0,Center,1966-05-27,Right
1333,Ricky Berry,300000.0,Shooting Guard,1964-10-06,Right
1334,Rod Strickland,250000.0,Point Guard and Shooting Guard,1966-07-11,Right
1335,Kevin Edwards,300000.0,Shooting Guard and Point Guard,1965-10-30,Right
1336,Mark Bryant,220000.0,Power Forward and Center,1965-04-25,Right
1337,Randolph Keys,250000.0,Small Forward,1966-04-19,Right
1338,Jerome Lane,200000.0,Power Forward,1966-12-04,Right
1339,Brian Shaw,150000.0,Point Guard and Shooting Guard,1966-03-22,Right
1340,David Rivers,200000.0,Point Guard,1965-01-20,Right
1341,Rolando Ferreira,100000.0,Center,1964-05-24,Right
1342,Shelton Jones,,Small Forward,1966-04-06,Right
1343,Andrew Lang,100000.0,Center,1966-06-28,Right
1344,Vinny Del Negro,175000.0,Shooting Guard and Point Guard,1966-08-09,Right
1345,Fennis Dembo,100000.0,Small Forward,1966-01-24,Right
1346,Everette Stephens,100000.0,Point Guard,1966-10-21,Right
1347,Charles Shackleford,150000.0,Center and Power Forward,1966-04-22,Right
1348,Grant Long,100000.0,Power Forward,1966-03-12,Right
1349,Tom Tolbert,150000.0,Power Forward and Small Forward,1965-10-16,Right
1350,Sylvester Gray,160000.0,Small Forward,1967-07-08,Right
1351,Ledell Eackles,225000.0,Shooting Guard,1966-11-24,Right
1352,Greg Butler,100000.0,Center,1966-03-11,Right
1353,Dean Garrett,100000.0,Center,1966-11-27,Right
1354,Tito Horford,100000.0,Center,1966-01-19,Right
1355,Orlando Graham,,Power Forward,1965-05-05,Right
1356,Keith Smart,,Point Guard,1964-09-21,Right
1357,Todd Mitchell,,Small Forward,1966-07-26,Right
1358,Anthony Taylor,100000.0,Point Guard,1965-11-30,Right
1359,Tom Garrick,100000.0,Shooting Guard,1966-07-07,Right
1360,Morlon Wiley,100000.0,Point Guard,1966-09-24,Right
1361,Vernon Maxwell,100000.0,Shooting Guard and Point Guard,1965-09-12,Right
1362,Micheal Williams,100000.0,Point Guard,1966-07-23,Right
1363,Steve Kerr,100000.0,Point Guard and Shooting Guard,1965-09-27,Right
1364,Rob Lock,,Power Forward,1966-05-22,Right
1365,Anthony Mason,210000.0,Power Forward and Small Forward and Center,1966-12-14,Left
1366,Barry Sumpter,,Power Forward,1965-11-11,Right
1367,Nate Johnston,,Power Forward and Small Forward,1966-12-18,Right
1368,Winston Bennett,525000.0,Small Forward,1965-02-09,Right
1369,Corey Gaines,13000.0,Shooting Guard,1965-06-01,Right
1370,Ricky Grace,,Point Guard,1967-08-20,Left
1371,Craig Neal,100000.0,Point Guard,1964-02-16,Right
1372,Michael Anderson,,Point Guard,1966-03-23,Right
1373,Gerald Paddio,120000.0,Small Forward,1965-04-21,Right
1374,Pervis Ellison,2300000.0,Center and Power Forward,1967-04-03,Right
1375,Danny Ferry,2640000.0,Power Forward and Small Forward,1966-10-17,Right
1376,Sean Elliott,1800000.0,Small Forward,1968-02-02,Right
1377,Glen Rice,1550000.0,Small Forward,1967-05-28,Right
1378,J.R. Reid,1250000.0,Power Forward and Center,1968-03-31,Right
1379,Stacey King,1000000.0,Center and Power Forward,1967-01-29,Left
1380,George McCloud,940000.0,Small Forward,1967-05-27,Right
1381,Randy White,730000.0,Power Forward,1967-11-04,Right
1382,Tom Hammonds,800000.0,Power Forward,1967-03-27,Right
1383,Pooh Richardson,615000.0,Point Guard,1966-05-14,Right
1384,Nick Anderson,725000.0,Shooting Guard and Small Forward,1968-01-20,Right
1385,Mookie Blaylock,525000.0,Point Guard,1967-03-20,Right
1386,Michael Smith,525000.0,Power Forward,1965-05-19,Right
1387,Tim Hardaway,500000.0,Point Guard,1966-09-01,Right
1388,Todd Lichti,565000.0,Shooting Guard,1967-01-08,Right
1389,Dana Barros,500000.0,Point Guard and Shooting Guard,1967-04-13,Right
1390,Shawn Kemp,350000.0,Power Forward and Center,1969-11-26,Right
1391,B.J. Armstrong,425000.0,Point Guard,1967-09-09,Right
1392,Kenny Payne,400000.0,Small Forward,1966-11-25,Left
1393,Jeff Sanders,385000.0,Power Forward and Small Forward,1966-01-14,Right
1394,Blue Edwards,360000.0,Small Forward and Shooting Guard,1965-10-31,Right
1395,Byron Irvin,375000.0,Shooting Guard,1966-12-02,Right
1396,Roy Marble,,Shooting Guard and Small Forward,1966-12-13,Right
1397,Anthony Cook,370000.0,Power Forward,1967-03-19,Right
1398,John Morton,350000.0,Shooting Guard and Small Forward,1967-05-18,Right
1399,Kenny Battle,350000.0,Shooting Guard,1964-10-10,Left
1400,Sherman Douglas,325000.0,Point Guard,1966-09-15,Right
1401,Dyron Nix,,Small Forward,1967-02-11,Right
1402,Frank Kornet,225000.0,Power Forward,1967-01-27,Right
1403,Jeff Martin,210000.0,Point Guard and Shooting Guard,1967-01-14,Right
1404,Stanley Brundy,,Small Forward,1967-11-13,Right
1405,Jay Edwards,,Shooting Guard,1969-01-03,Right
1406,Gary Leonard,200000.0,Center,1967-02-16,Right
1407,Pat Durham,126000.0,Small Forward,1967-03-10,Right
1408,Clifford Robinson,250000.0,Power Forward and Small Forward and Center,1966-12-16,Right
1409,Michael Ansley,200000.0,Small Forward,1967-02-08,Right
1410,Doug West,230000.0,Shooting Guard,1967-05-27,Right
1411,Ed Horton,,Power Forward,1967-12-17,Right
1412,Doug Roth,,Center,1967-08-24,Right
1413,Chucky Brown,630000.0,Small Forward and Power Forward,1968-02-29,Right
1414,Scott Haffner,75000.0,Point Guard,1966-02-02,Right
1415,Ricky Blanton,8000.0,Small Forward,1966-04-21,Right
1416,Haywoode Workman,120000.0,Point Guard,1966-01-23,Right
1417,Brian Quinnett,360000.0,Shooting Guard,1966-05-30,Right
1418,Mike Morrison,,Shooting Guard,1967-08-16,Right
1419,Greg Grant,300000.0,Point Guard,1966-08-29,Right
1420,Derrick Coleman,2100000.0,Power Forward and Center,1967-06-21,Left
1421,Gary Payton,1685000.0,Point Guard,1968-07-23,Right
1422,Mahmoud Abdul-Rauf,1660000.0,Point Guard,1969-03-09,Right
1423,Dennis Scott,1560000.0,Small Forward and Shooting Guard,1968-09-05,Right
1424,Kendall Gill,1500000.0,Shooting Guard and Small Forward,1968-05-25,Right
1425,Felton Spencer,1070000.0,Center,1968-01-15,Right
1426,Lionel Simmons,930000.0,Small Forward,1968-11-14,Right
1427,Bo Kimble,950000.0,Shooting Guard,1966-04-09,Right
1428,Willie Burton,2000000.0,Small Forward,1968-05-26,Right
1429,Rumeal Robinson,800000.0,Point Guard,1966-11-13,Right
1430,Tyrone Hill,1000000.0,Power Forward and Center,1968-03-19,Right
1431,Alec Kessler,1600000.0,Power Forward and Center,1967-01-13,Right
1432,Loy Vaught,825000.0,Power Forward,1968-02-27,Right
1433,Travis Mays,800000.0,Point Guard,1968-06-19,Right
1434,Dave Jamerson,650000.0,Shooting Guard,1967-08-13,Right
1435,Terry Mills,600000.0,Power Forward,1967-12-21,Right
1436,Jerrod Mustaf,565000.0,Power Forward,1969-10-28,Right
1437,Duane Causwell,650000.0,Center,1968-05-31,Right
1438,Dee Brown,547000.0,Point Guard and Shooting Guard,1968-11-29,Right
1439,Gerald Glass,575000.0,Small Forward,1967-11-12,Right
1440,Jayson Williams,500000.0,Power Forward and Center,1968-02-22,Right
1441,Tate George,410000.0,Shooting Guard and Point Guard,1968-05-29,Right
1442,Anthony Bonner,568000.0,Power Forward and Small Forward,1968-06-08,Right
1443,Dwayne Schintzius,520000.0,Center,1968-10-14,Right
1444,Alaa Abdelnaby,395000.0,Power Forward,1968-06-24,Right
1445,Lance Blanks,365000.0,Shooting Guard,1966-09-09,Right
1446,Elden Campbell,575000.0,Center and Power Forward,1968-07-23,Right
1447,Les Jepsen,505000.0,Center,1967-06-24,Right
1448,Carl Herrera,325000.0,Power Forward,1966-12-14,Right
1449,Negele Knight,468000.0,Point Guard,1967-03-06,Right
1450,Brian Oliver,455000.0,Shooting Guard,1968-06-01,Right
1451,Walter Palmer,225000.0,Center,1968-10-23,Right
1452,Kevin Pritchard,185000.0,Point Guard,1967-07-17,Right
1453,Greg Foster,275000.0,Power Forward and Center,1968-10-03,Right
1454,Trevor Wilson,150000.0,Power Forward,1968-03-16,Right
1455,A.J. English,275000.0,Shooting Guard,1967-07-11,Right
1456,Jud Buechler,225000.0,Small Forward,1968-06-19,Right
1457,Steve Scheffler,200000.0,Center,1967-09-03,Left
1458,Bimbo Coles,290000.0,Point Guard,1968-04-22,Right
1459,Steve Bardo,150000.0,Shooting Guard,1968-04-05,Right
1460,Marcus Liberty,210000.0,Small Forward,1968-10-27,Right
1461,Tony Massenburg,150000.0,Power Forward and Center,1967-07-31,Right
1462,Steve Henson,120000.0,Point Guard,1968-02-02,Right
1463,Antonio Davis,565000.0,Power Forward and Center,1968-10-31,Right
1464,Kenny Williams,175000.0,Small Forward and Power Forward,1969-06-09,Right
1465,Derek Strong,130000.0,Power Forward,1968-02-09,Right
1466,Cedric Ceballos,175000.0,Small Forward,1969-08-02,Right
1467,Milos Babic,200000.0,Power Forward and Center,1968-11-23,Right
1468,Tony Smith,120000.0,Shooting Guard and Point Guard,1968-06-14,Right
1469,Sean Higgins,150000.0,Small Forward and Power Forward,1968-12-30,Right
1470,Larry Johnson,1955000.0,Power Forward and Small Forward,1969-03-14,Right
1471,Kenny Anderson,1828000.0,Point Guard,1970-10-09,Left
1472,Billy Owens,1509000.0,Small Forward and Power Forward and Shooting Guard,1969-05-01,Right
1473,Dikembe Mutombo,2005000.0,Center,1966-06-25,Right
1474,Steve Smith,2250000.0,Shooting Guard,1969-03-31,Right
1475,Doug Smith,1500000.0,Power Forward,1969-09-17,Right
1476,Luc Longley,1590000.0,Center,1969-01-19,Right
1477,Mark Macon,970000.0,Shooting Guard and Point Guard,1969-04-14,Right
1478,Stacey Augmon,875000.0,Shooting Guard and Small Forward,1968-08-01,Left
1479,Bison Dele,777000.0,Center and Power Forward,1969-04-06,Left
1480,Terrell Brandon,525000.0,Point Guard,1970-05-20,Right
1481,Greg Anthony,865000.0,Point Guard,1967-11-15,Left
1482,Dale Davis,430000.0,Center and Power Forward,1969-03-25,Right
1483,Rich King,600000.0,Center,1969-04-04,Right
1484,Anthony Avent,500000.0,Power Forward,1969-10-18,Right
1485,Chris Gatling,700000.0,Power Forward and Center,1967-09-03,Left
1486,Victor Alexander,750000.0,Center,1969-08-31,Right
1487,Kevin Brooks,625000.0,Small Forward,1969-10-12,Right
1488,LaBradford Smith,620000.0,Shooting Guard,1969-04-03,Right
1489,John Turner,615000.0,Small Forward,1967-11-30,Right
1490,Eric Murdock,600000.0,Point Guard,1968-06-14,Right
1491,LeRon Ellis,180000.0,Center,1969-04-28,Right
1492,Stanley Roberts,550000.0,Center,1970-02-07,Right
1493,Rick Fox,525000.0,Small Forward,1969-07-24,Right
1494,Mark Randall,180000.0,Power Forward,1967-09-30,Right
1495,Pete Chilcutt,475000.0,Power Forward,1968-09-14,Right
1496,Kevin Lynch,250000.0,Shooting Guard,1968-12-24,Right
1497,Rodney Monroe,217000.0,Shooting Guard,1968-04-16,Right
1498,Randy Brown,210000.0,Point Guard,1968-05-22,Right
1499,Chad Gallagher,,Center,1969-05-30,Right
1500,Donald Hodge,130000.0,Center and Power Forward,1969-02-25,Right
1501,Myron Brown,200000.0,Point Guard,1969-11-03,Right
1502,Mike Iuzzolino,185000.0,Point Guard,1968-01-22,Right
1503,Chris Corchiani,300000.0,Point Guard,1968-03-28,Right
1504,Elliot Perry,130000.0,Point Guard,1969-03-28,Left
1505,Jimmy Oliver,200000.0,Shooting Guard,1969-07-12,Right
1506,Doug Overton,140000.0,Point Guard,1969-08-03,Right
1507,Sean Green,130000.0,Shooting Guard,1970-02-02,Right
1508,Lamont Strothers,150000.0,Shooting Guard,1968-05-10,Right
1509,Bobby Phills,130000.0,Shooting Guard,1969-12-20,Right
1510,Richard Dumas,140000.0,Small Forward and Power Forward,1969-05-19,Right
1511,Isaac Austin,130000.0,Center,1969-08-18,Right
1512,Greg Sutton,175000.0,Point Guard,1967-12-03,Right
1513,Shaquille O'Neal,3000000.0,Center,1972-03-06,Right
1514,Alonzo Mourning,2400000.0,Center and Power Forward,1970-02-08,Right
1515,Christian Laettner,2100000.0,Power Forward and Center,1969-08-17,Right
1516,Jim Jackson,2000000.0,Small Forward and Shooting Guard,1970-10-14,Right
1517,LaPhonso Ellis,1900000.0,Power Forward and Small Forward,1970-05-05,Right
1518,Tom Gugliotta,1250000.0,Power Forward and Small Forward,1969-12-19,Right
1519,Walt Williams,1275000.0,Small Forward,1970-04-16,Right
1520,Todd Day,1325000.0,Shooting Guard,1970-01-07,Right
1521,Clarence Weatherspoon,800000.0,Power Forward and Small Forward,1970-09-08,Right
1522,Adam Keefe,1000000.0,Power Forward and Center and Small Forward,1970-02-22,Right
1523,Robert Horry,997000.0,Power Forward and Small Forward,1970-08-25,Right
1524,Harold Miner,912000.0,Shooting Guard and Point Guard,1971-05-05,Left
1525,Bryant Stith,850000.0,Shooting Guard,1970-12-10,Right
1526,Malik Sealy,790000.0,Small Forward and Shooting Guard,1970-02-01,Right
1527,Anthony Peeler,700000.0,Shooting Guard,1969-11-25,Left
1528,Randy Woods,500000.0,Point Guard,1970-09-23,Right
1529,Doug Christie,1445000.0,Shooting Guard and Small Forward,1970-05-09,Right
1530,Tracy Murray,725000.0,Small Forward,1971-07-25,Right
1531,Don MacLean,463000.0,Small Forward and Power Forward,1970-01-16,Right
1532,Hubert Davis,588000.0,Shooting Guard and Point Guard,1970-05-17,Right
1533,Jon Barry,500000.0,Shooting Guard,1969-07-25,Right
1534,Oliver Miller,517000.0,Center and Power Forward,1970-04-06,Right
1535,Lee Mayberry,520000.0,Point Guard,1970-06-12,Right
1536,Latrell Sprewell,550000.0,Small Forward and Shooting Guard,1970-09-08,Right
1537,Elmore Spencer,438000.0,Center,1969-12-06,Left
1538,Dave Johnson,500000.0,Shooting Guard,1970-11-16,Right
1539,Byron Houston,500000.0,Power Forward,1969-11-22,Right
1540,Marlon Maxey,325000.0,Power Forward,1969-02-19,Right
1541,P.J. Brown,600000.0,Power Forward and Center,1969-10-14,Right
1542,Sean Rooks,375000.0,Center,1969-09-09,Right
1543,Reggie Smith,275000.0,Center and Power Forward,1970-08-21,Right
1544,Brent Price,283000.0,Point Guard,1968-12-09,Right
1545,Corey Williams,200000.0,Point Guard,1970-04-24,Right
1546,Chris Smith,200000.0,Shooting Guard and Point Guard,1970-05-17,Right
1547,Tony Bennett,140000.0,Point Guard,1969-06-01,Right
1548,Duane Cooper,140000.0,Point Guard,1969-06-25,Right
1549,Isaiah Morris,140000.0,Small Forward,1969-04-02,Right
1550,Elmer Bennett,,Point Guard,1970-02-13,Right
1551,Litterial Green,140000.0,Point Guard,1970-03-07,Right
1552,Popeye Jones,275000.0,Power Forward,1970-06-17,Right
1553,Matt Geiger,140000.0,Center,1969-09-10,Right
1554,Chris King,225000.0,Small Forward,1969-07-24,Right
1555,Robert Werdann,145000.0,Center,1970-09-12,Right
1556,Darren Morningstar,43000.0,Center,1969-04-22,Right
1557,Brian Davis,150000.0,Small Forward,1970-06-21,Right
1558,Matt Fish,150000.0,Center,1969-11-18,Left
1559,Matt Steigenga,,Small Forward,1970-03-27,Right
1560,Chris Webber,1600000.0,Power Forward and Center,1973-03-01,Right
1561,Shawn Bradley,2700000.0,Center,1972-03-22,Right
1562,Anfernee Hardaway,1244000.0,Shooting Guard and Point Guard and Small Forward,1971-07-18,Right
1563,Jamal Mashburn,2033000.0,Small Forward,1972-11-29,Right
1564,Isaiah Rider,2000000.0,Shooting Guard,1971-03-12,Right
1565,Calbert Cheaney,2000000.0,Shooting Guard and Small Forward,1971-07-17,Left
1566,Bobby Hurley,1616000.0,Point Guard,1971-06-28,Right
1567,Vin Baker,866000.0,Power Forward and Center,1971-11-23,Right
1568,Rodney Rogers,150000.0,Small Forward and Power Forward,1971-06-20,Left
1569,Lindsey Hunter,902000.0,Point Guard and Shooting Guard,1970-12-03,Right
1570,Allan Houston,736000.0,Shooting Guard,1971-04-20,Right
1571,George Lynch,1100000.0,Small Forward and Shooting Guard,1970-09-03,Right
1572,Terry Dehere,1050000.0,Point Guard and Shooting Guard,1971-09-12,Right
1573,Scott Haskin,833000.0,Center,1970-09-19,Right
1574,Doug Edwards,650000.0,Power Forward,1971-01-21,Right
1575,Rex Walters,650000.0,Shooting Guard and Point Guard,1970-03-12,Left
1576,Greg Graham,700000.0,Shooting Guard,1970-11-26,Right
1577,Luther Wright,650000.0,Center,1971-09-22,Right
1578,Acie Earl,650000.0,Center,1970-06-23,Right
1579,Scott Burrell,650000.0,Small Forward,1971-01-12,Right
1580,James Robinson,650000.0,Point Guard,1970-08-31,Right
1581,Chris Mills,650000.0,Small Forward and Power Forward,1970-01-25,Right
1582,Ervin Johnson,617000.0,Center,1967-12-21,Right
1583,Sam Cassell,650000.0,Point Guard,1969-11-18,Right
1584,Corie Blount,620000.0,Power Forward and Center,1969-01-04,Right
1585,Geert Hammink,250000.0,Center,1969-07-12,Right
1586,Malcolm Mackey,550000.0,Center,1970-07-11,Right
1587,Lucious Harris,350000.0,Shooting Guard and Point Guard,1970-12-18,Right
1588,Evers Burns,1616000.0,Power Forward,1971-08-24,Right
1589,Alphonso Ford,,Shooting Guard and Point Guard,1971-10-31,Right
1590,Eric Riley,150000.0,Center,1970-06-02,Right
1591,Darnell Mee,150000.0,Shooting Guard,1971-02-11,Right
1592,Ed Stokes,272500.0,Center,1971-09-03,Right
1593,Nick Van Exel,1100000.0,Point Guard and Shooting Guard,1971-11-27,Left
1594,Rich Manning,247500.0,Power Forward,1970-06-23,Right
1595,Adonis Jordan,350000.0,Point Guard,1970-08-21,Right
1596,Josh Grant,150000.0,Power Forward,1967-08-07,Right
1597,Bryon Russell,150000.0,Small Forward and Shooting Guard,1970-12-31,Right
1598,Richard Petruska,150000.0,Center,1969-01-25,Left
1599,Chris Whitney,150000.0,Point Guard,1971-10-05,Right
1600,Kevin Thompson,150000.0,Center,1971-02-07,Right
1601,Mike Peplowski,150000.0,Center,1970-10-15,Right
1602,Glenn Robinson,2900000.0,Small Forward,1973-01-10,Right
1603,Jason Kidd,2770800.0,Point Guard and Shooting Guard,1973-03-23,Right
1604,Grant Hill,2750000.0,Small Forward and Shooting Guard,1972-10-05,Right
1605,Donyell Marshall,2100000.0,Power Forward and Small Forward,1973-05-18,Right
1606,Juwan Howard,1309000.0,Power Forward and Small Forward and Center,1973-02-07,Right
1607,Sharone Wright,2020000.0,Center,1973-01-30,Right
1608,Lamond Murray,2000000.0,Small Forward,1973-04-20,Right
1609,Brian Grant,808000.0,Power Forward and Center and Small Forward,1972-03-05,Right
1610,Eric Montross,800000.0,Center,1971-09-23,Right
1611,Eddie Jones,1300000.0,Shooting Guard and Small Forward,1971-10-20,Right
1612,Carlos Rogers,715000.0,Power Forward and Center,1971-02-06,Right
1613,Khalid Reeves,1300000.0,Point Guard,1972-07-15,Right
1614,Jalen Rose,975000.0,Small Forward and Shooting Guard and Point Guard,1973-01-30,Left
1615,Yinka Dare,920000.0,Center,1972-10-10,Right
1616,Eric Piatkowski,962500.0,Shooting Guard and Small Forward,1970-09-30,Right
1617,Clifford Rozier,650000.0,Center,1972-10-31,Right
1618,Aaron McKie,650000.0,Shooting Guard and Small Forward and Point Guard,1972-10-02,Right
1619,Eric Mobley,620000.0,Center,1970-02-01,Right
1620,Tony Dumas,700000.0,Shooting Guard,1972-08-25,Right
1621,B.J. Tyler,715000.0,Point Guard,1971-04-30,Right
1622,Dickey Simpkins,650000.0,Power Forward and Center,1972-04-06,Right
1623,Bill Curley,702000.0,Power Forward and Small Forward,1972-05-29,Right
1624,Wesley Person,650000.0,Shooting Guard and Small Forward,1971-03-28,Right
1625,Monty Williams,650000.0,Small Forward,1971-10-08,Right
1626,Greg Minor,250000.0,Shooting Guard and Small Forward,1971-09-18,Right
1627,Charlie Ward,555000.0,Point Guard,1970-10-12,Right
1628,Brooks Thompson,650000.0,Point Guard,1970-07-19,Left
1629,Antonio Lang,325000.0,Small Forward and Power Forward,1972-05-15,Right
1630,Howard Eisley,150000.0,Point Guard and Shooting Guard,1972-12-04,Right
1631,Jim McIlvaine,200000.0,Center,1972-07-30,Right
1632,Derrick Alston,150000.0,Center,1972-08-20,Right
1633,Gaylon Nickerson,152900.0,Shooting Guard,1969-02-05,Right
1634,Michael Smith,150000.0,Power Forward and Small Forward,1972-03-28,Left
1635,Dontonio Wingfield,150000.0,Small Forward,1974-06-23,Right
1636,Darrin Hancock,150000.0,Small Forward,1971-11-03,Right
1637,Anthony Miller,150000.0,Power Forward,1971-10-22,Right
1638,Jeff Webster,,Small Forward,1971-02-19,Right
1639,Shawnelle Scott,300000.0,Center,1972-06-16,Right
1640,Dwayne Morton,150000.0,Point Guard,1971-08-08,Right
1641,Voshon Lenard,247500.0,Shooting Guard,1973-05-14,Right
1642,Jamie Watson,150000.0,Small Forward,1972-02-23,Right
1643,Charles Claxton,,Center,1970-12-13,Right
1644,Lawrence Funderburke,2400000.0,Power Forward,1970-12-15,Left
1645,Anthony Goldwire,250000.0,Point Guard,1971-09-06,Right
1646,Joe Smith,2473000.0,Power Forward and Center and Small Forward,1975-07-26,Right
1647,Antonio McDyess,2213000.0,Power Forward and Center,1974-09-07,Right
1648,Jerry Stackhouse,1987000.0,Shooting Guard and Small Forward,1974-11-05,Right
1649,Rasheed Wallace,1493000.0,Power Forward and Center,1974-09-17,Right
1650,Bryant Reeves,1474000.0,Center,1973-06-08,Right
1651,Damon Stoudamire,1345000.0,Point Guard,1973-09-03,Left
1652,Shawn Respert,1232000.0,Shooting Guard,1972-02-06,Right
1653,Ed O'Bannon,1133000.0,Small Forward and Shooting Guard,1972-08-14,Left
1654,Kurt Thomas,1071000.0,Power Forward and Center,1972-10-04,Right
1655,Gary Trent,1022000.0,Power Forward and Small Forward and Center,1974-09-22,Right
1656,Cherokee Parks,971000.0,Center and Power Forward,1972-10-11,Right
1657,Corliss Williamson,923000.0,Small Forward and Power Forward,1973-12-04,Right
1658,Eric Williams,876000.0,Small Forward and Shooting Guard,1972-07-17,Right
1659,Brent Barry,833000.0,Shooting Guard and Small Forward,1971-12-31,Right
1660,Alan Henderson,791000.0,Power Forward and Center and Small Forward,1972-12-02,Right
1661,Bob Sura,752000.0,Shooting Guard and Point Guard,1973-03-25,Right
1662,Theo Ratliff,714000.0,Center and Power Forward,1973-04-17,Right
1663,Randolph Childress,682000.0,Point Guard,1972-09-21,Right
1664,Jason Caffey,627000.0,Power Forward,1973-06-12,Right
1665,Michael Finley,628000.0,Small Forward and Shooting Guard,1973-03-06,Right
1666,George Zidek,603000.0,Center,1973-08-02,Right
1667,Travis Best,580000.0,Point Guard,1972-07-12,Left
